crossing,reported_at,value_min,value_raw,reporter,scraped_at_utc
bogorodica-evzoni,2026-06-21T08:28,150,2.5 h,anonymous,2026-06-21T06:29:17+00:00
bogorodica-evzoni,2026-06-21T09:26,120,2 h,anonymous_,2026-06-21T07:33:06+00:00
bogorodica-evzoni,2026-06-21T09:46,120,2 h,anonymous,2026-06-21T07:48:13+00:00
bogorodica-evzoni,2026-06-21T09:40,150,2.5 h,anonymous,2026-06-21T07:48:13+00:00
bogorodica-evzoni,2026-06-21T10:48,150,2.5 h,anonymous,2026-06-21T09:03:53+00:00
bogorodica-evzoni,2026-06-21T11:30,10,10 min,anonymous,2026-06-21T09:34:05+00:00
bogorodica-evzoni,2026-06-21T12:01,150,2.5 h,anonymous,2026-06-21T10:04:40+00:00
bogorodica-evzoni,2026-06-21T11:58,180,3 h,anonymous,2026-06-21T10:04:40+00:00
bogorodica-evzoni,2026-06-21T12:21,120,2 h,Luiza,2026-06-21T10:34:53+00:00
bogorodica-evzoni,2026-06-21T12:43,150,2.5 h,anonymous,2026-06-21T10:56:11+00:00
bogorodica-evzoni,2026-06-21T13:21,180,3 h,anonymous,2026-06-21T11:26:23+00:00
bogorodica-evzoni,2026-06-21T14:06,90,1.5 h,anonymous,2026-06-21T12:11:40+00:00
bogorodica-evzoni,2026-06-21T14:36,40,40 min,anonymous,2026-06-21T12:47:27+00:00
bogorodica-evzoni,2026-06-21T14:34,60,60 min,anonymous,2026-06-21T12:47:27+00:00
bogorodica-evzoni,2026-06-21T15:16,300,5 h,anonymous,2026-06-21T13:17:45+00:00
bogorodica-evzoni,2026-06-21T15:09,60,60 min,anonymous,2026-06-21T13:17:45+00:00
bogorodica-evzoni,2026-06-21T15:08,120,2 h,anonymous,2026-06-21T13:17:45+00:00
bogorodica-evzoni,2026-06-21T16:27,270,4.5 h,anonymous_,2026-06-21T14:33:18+00:00
bogorodica-evzoni,2026-06-21T17:23,30,30 min,anonymous,2026-06-21T15:30:07+00:00
bogorodica-evzoni,2026-06-21T17:58,15,15 min,anonymous,2026-06-21T16:00:31+00:00
bogorodica-evzoni,2026-06-21T18:10,5,5 min,anonymous,2026-06-21T16:15:36+00:00
bogorodica-evzoni,2026-06-21T18:19,10,10 min,anonymous,2026-06-21T16:30:42+00:00
bogorodica-evzoni,2026-06-21T19:29,5,5 min,anonymous_,2026-06-21T17:38:39+00:00
bogorodica-evzoni,2026-06-21T20:27,5,5 min,anonymous,2026-06-21T18:39:01+00:00
bogorodica-evzoni,2026-06-21T21:27,10,10 min,anonymous_,2026-06-21T19:30:53+00:00
bogorodica-evzoni,2026-06-21T22:27,5,5 min,anonymous_,2026-06-21T20:33:32+00:00
bogorodica-evzoni,2026-06-21T22:42,5,5 min,anonymous,2026-06-21T20:48:38+00:00
bogorodica-evzoni,2026-06-21T23:24,30,30 min,anonymous,2026-06-21T21:33:58+00:00
bogorodica-evzoni,2026-06-21T23:34,10,10 min,anonymous,2026-06-21T21:47:48+00:00
bogorodica-evzoni,2026-06-22T00:55,5,5 min,anonymous_,2026-06-21T23:09:37+00:00
