crossing,reported_at,value_min,value_raw,reporter,scraped_at_utc
bajakovo-batrovci,2026-06-20T14:29,210,3.5 h,anonymous,2026-06-20T12:36:42+00:00
bajakovo-batrovci,2026-06-20T15:27,180,3 h,anonymous_,2026-06-20T13:37:07+00:00
bajakovo-batrovci,2026-06-20T16:29,150,2.5 h,anonymous_,2026-06-20T14:37:29+00:00
bajakovo-batrovci,2026-06-20T16:38,10,10 min,hak_croatia,2026-06-20T14:38:19+00:00
bajakovo-batrovci,2026-06-20T17:28,10,10 min,hak_croatia,2026-06-20T15:38:48+00:00
bajakovo-batrovci,2026-06-20T17:49,10,10 min,hak_croatia,2026-06-20T15:53:55+00:00
bajakovo-batrovci,2026-06-20T18:08,30,30 min,hak_croatia,2026-06-20T16:09:14+00:00
bajakovo-batrovci,2026-06-20T18:38,30,30 min,hak_croatia,2026-06-20T16:39:25+00:00
bajakovo-batrovci,2026-06-20T19:57,25,25 min,anonymous_,2026-06-20T18:06:39+00:00
bajakovo-batrovci,2026-06-20T20:38,60,60 min,hak_croatia,2026-06-20T18:51:58+00:00
bajakovo-batrovci,2026-06-20T21:28,60,60 min,hak_croatia,2026-06-20T19:40:03+00:00
bajakovo-batrovci,2026-06-20T21:49,60,60 min,hak_croatia,2026-06-20T19:55:08+00:00
bajakovo-batrovci,2026-06-20T22:08,60,60 min,hak_croatia,2026-06-20T20:10:14+00:00
bajakovo-batrovci,2026-06-20T23:28,55,55 min,anonymous_,2026-06-20T21:30:40+00:00
bajakovo-batrovci,2026-06-20T23:49,90,1.5 h,hak_croatia,2026-06-20T21:57:08+00:00
bajakovo-batrovci,2026-06-21T00:08,90,1.5 h,hak_croatia,2026-06-20T22:12:14+00:00
bajakovo-batrovci,2026-06-21T00:38,90,1.5 h,hak_croatia,2026-06-20T22:42:26+00:00
bajakovo-batrovci,2026-06-21T01:28,90,1.5 h,hak_croatia,2026-06-20T23:37:08+00:00
bajakovo-batrovci,2026-06-21T01:49,90,1.5 h,hak_croatia,2026-06-20T23:52:34+00:00
bajakovo-batrovci,2026-06-21T02:08,90,1.5 h,hak_croatia,2026-06-21T00:22:45+00:00
bajakovo-batrovci,2026-06-21T02:28,90,1.5 h,hak_croatia,2026-06-21T00:37:51+00:00
bajakovo-batrovci,2026-06-21T02:49,90,1.5 h,hak_croatia,2026-06-21T00:52:57+00:00
bajakovo-batrovci,2026-06-21T02:38,90,1.5 h,hak_croatia,2026-06-21T00:52:57+00:00
bajakovo-batrovci,2026-06-21T04:08,90,1.5 h,hak_croatia,2026-06-21T02:12:31+00:00
bajakovo-batrovci,2026-06-21T03:57,60,60 min,anonymous_,2026-06-21T02:12:31+00:00
bajakovo-batrovci,2026-06-21T04:38,90,1.5 h,hak_croatia,2026-06-21T02:42:41+00:00
bajakovo-batrovci,2026-06-21T05:28,60,60 min,hak_croatia,2026-06-21T03:43:08+00:00
bajakovo-batrovci,2026-06-21T05:49,60,60 min,hak_croatia,2026-06-21T03:58:14+00:00
bajakovo-batrovci,2026-06-21T06:08,60,60 min,hak_croatia,2026-06-21T04:13:20+00:00
bajakovo-batrovci,2026-06-21T06:38,60,60 min,hak_croatia,2026-06-21T04:43:38+00:00
bajakovo-batrovci,2026-06-21T07:28,30,30 min,hak_croatia,2026-06-21T05:28:53+00:00
bajakovo-batrovci,2026-06-21T07:49,30,30 min,hak_croatia,2026-06-21T05:59:05+00:00
bajakovo-batrovci,2026-06-21T08:08,30,30 min,hak_croatia,2026-06-21T06:14:11+00:00
bajakovo-batrovci,2026-06-21T08:28,40,40 min,anonymous,2026-06-21T06:29:17+00:00
bajakovo-batrovci,2026-06-21T09:28,35,35 min,anonymous_,2026-06-21T07:33:06+00:00
bajakovo-batrovci,2026-06-21T09:49,30,30 min,hak_croatia,2026-06-21T08:03:19+00:00
bajakovo-batrovci,2026-06-21T10:08,30,30 min,hak_croatia,2026-06-21T08:18:26+00:00
bajakovo-batrovci,2026-06-21T10:38,30,30 min,hak_croatia,2026-06-21T08:48:40+00:00
bajakovo-batrovci,2026-06-21T11:28,30,30 min,hak_croatia,2026-06-21T09:34:05+00:00
bajakovo-batrovci,2026-06-21T11:49,30,30 min,hak_croatia,2026-06-21T09:49:11+00:00
bajakovo-batrovci,2026-06-21T12:08,60,60 min,hak_croatia,2026-06-21T10:19:47+00:00
bajakovo-batrovci,2026-06-21T13:24,55,55 min,anonymous_,2026-06-21T11:41:29+00:00
bajakovo-batrovci,2026-06-21T14:08,30,30 min,hak_croatia,2026-06-21T12:11:40+00:00
bajakovo-batrovci,2026-06-21T14:38,30,30 min,hak_croatia,2026-06-21T12:47:27+00:00
bajakovo-batrovci,2026-06-21T15:28,30,30 min,hak_croatia,2026-06-21T13:32:52+00:00
bajakovo-batrovci,2026-06-21T15:49,30,30 min,hak_croatia,2026-06-21T14:03:05+00:00
bajakovo-batrovci,2026-06-21T16:08,30,30 min,hak_croatia,2026-06-21T14:18:12+00:00
bajakovo-batrovci,2026-06-21T16:38,30,30 min,hak_croatia,2026-06-21T14:48:25+00:00
bajakovo-batrovci,2026-06-21T17:28,30,30 min,hak_croatia,2026-06-21T15:30:07+00:00
